9.75E-01,-6.77E-01,-1.22E-02,-8.97E-01,7.58E-02,-7.28E+01
8.19E-02,-4.85E-01,7.59E-01,-7.73E-01,-2.37E-01,-5.68E+01
-1.41E+00,-9.08E-01,-5.62E-01,-1.01E+00,3.14E-01,-2.64E+02
-6.45E-01,3.62E-01,1.36E+00,-7.20E-02,1.00E+00,1.19E+02
-6.23E-01,2.81E-01,-1.95E+00,-1.52E-01,5.88E-01,-1.20E+02
-4.50E-01,4.70E-02,-1.59E+00,-5.99E-01,5.24E-03,-1.50E+02
7.75E-01,4.44E-01,-4.84E-01,1.27E+00,-7.08E-01,1.12E+02
3.57E-01,8.50E-01,-2.08E-01,-4.93E-01,-5.89E-01,4.02E+01
-1.30E+00,-8.91E-02,3.84E-01,-3.27E-02,-2.07E+00,-1.42E+02
1.73E-01,-1.25E+00,-4.47E-01,8.56E-01,2.14E-01,-7.37E+01
2.97E-01,5.22E-01,7.82E-01,-1.24E+00,-1.32E+00,1.03E+01
-1.72E+00,-1.91E+00,-4.63E-01,-4.66E-01,2.42E-01,-3.46E+02
-1.99E+00,9.18E-02,8.22E-01,8.70E-02,-2.99E-01,-6.93E+01
-5.55E-02,-1.70E+00,7.41E-02,1.63E+00,-1.38E+00,-1.19E+02
6.57E-01,-1.19E+00,-7.14E-01,1.87E+00,4.74E-01,2.15E+00
-1.90E-02,-1.60E-01,3.11E-01,1.48E+00,8.58E-01,1.27E+02
-3.92E-01,-3.28E-01,9.71E-02,9.69E-01,-7.02E-01,9.15E-01
1.97E-01,-1.33E+00,-1.22E+00,2.09E-01,-1.96E+00,-2.61E+02
-1.23E+00,8.14E-01,1.55E+00,-7.83E-01,-3.22E-01,4.66E+01
1.50E+00,7.18E-01,-1.18E+00,-2.04E+00,-2.69E-01,-2.55E+01
1.52E+00,-8.61E-01,-7.97E-03,1.48E+00,7.74E-02,7.77E+01
9.63E-01,-8.21E-01,-9.75E-01,7.87E-01,1.16E+00,2.85E+01
-1.20E+00,8.66E-01,-7.93E-01,-1.15E-01,5.05E-01,-2.83E+01
